z4,,z5,,z6,,z7,,z8,
X,Y,X,Y,X,Y,X,Y,X,Y
-22.11520737327189,10.403083575126587,-22.254629629629626,10.11111111111111,-22.04658207590306,10.037037037037036,-21.723502304147466,9.833247994538315,-21.12037037037037,9.469135802469134
-21.654377880184335,9.906980713432327,-21.65277777777778,9.962962962962962,-21.629200960219478,9.913580246913579,-21.216589861751153,9.682596575069693,-20.773148148148145,8.925925925925926
-21.23963133640553,9.855549866302555,-21.212962962962962,9.74074074074074,-20.74614197530864,9.320987654320987,-20.663594470046082,9.309495363258804,-20.21759259259259,8.802469135802468
-20.70967741935484,9.53194515560107,-20.703703703703702,9.493827160493826,-20.236025377229076,9.172839506172838,-20.225806451612904,8.690049496501109,-19.800925925925924,8.382716049382715
-20.225806451612904,9.25795073106901,-20.194444444444443,9.172839506172838,-19.793924325560127,8.777777777777777,-19.788018433179722,8.786653012459466,-19.314814814814813,8.604938271604937
-19.695852534562214,8.959037378392217,-19.73148148148148,8.876543209876543,-19.28409350708733,8.679012345679013,-19.258064516129032,8.709961882004892,-18.875,8.382716049382715
-19.258064516129032,8.660579165955511,-19.245370370370367,8.65432098765432,-18.75040009144947,8.45679012345679,-18.65898617511521,8.509472606246801,-17.879629629629626,8.456790123456788
-18.774193548387096,8.485350173522217,-18.805555555555557,8.481481481481481,-18.240426383173293,8.333333333333332,-18.359447004608295,8.409227968367754,-16.907407407407405,7.864197530864196
-18.267281105990783,8.359390112078284,-18.296296296296298,8.407407407407407,-17.63700274348422,8.061728395061728,-17.76036866359447,8.258121408659042,,
-17.806451612903228,8.307731694828469,-17.810185185185183,8.28395061728395,-17.28863740283493,7.864197530864198,-17.32258064516129,7.811515048074186,,
-17.29953917050691,7.984240769187005,-17.416666666666664,7.987654320987654,,,-16.838709677419356,8.10542185811003,,
-16.81566820276498,8.055925357000625,-16.76851851851852,7.938271604938271,,,,,,
-16.377880184331797,7.6093189964157695,-16.23611111111111,7.5679012345679,,,,,,
