z,log10 M_bh [M_sun],log10 Phi [ cMpc^-1 dex^-1],lower uncertainity (log10),upper uncertainity (log10),Source
0,7.0,-3.374,0.3,0.3,Zhang2021
0,7.5,-4.359,0.3,0.3,Zhang2021
0,8.0,-5.335,0.3,0.3,Zhang2021
0,8.5,-6.291,0.3,0.3,Zhang2021
0,9.0,-7.299,0.3,0.3,Zhang2021
0,9.5,-8.341,0.3,0.3,Zhang2021
1,7.0,-2.938,0.3,0.3,Zhang2021
1,7.5,-3.244,0.3,0.3,Zhang2021
1,8.0,-3.703,0.3,0.3,Zhang2021
1,8.5,-4.306,0.3,0.3,Zhang2021
1,9.0,-5.033,0.3,0.3,Zhang2021
1,9.5,-6.105,0.3,0.3,Zhang2021
2,9.502563,-6.66129,0.3,0.3,Zhang2021
2,10.009661,-8.903226,0.3,0.3,Zhang2021
2,9.50211,-6.355212,0.3,0.3,Zhang2021
2,10.012658,-8.671815,0.3,0.3,Zhang2021
2,9.506329,-6.369975,0.3,0.3,Zhang2021
2,10.0,-7.836866,0.3,0.3,Zhang2021
2,10.493671,-9.488728,0.3,0.3,Zhang2021
3,10.001404,-7.72973,0.3,0.3,Zhang2021
3,10.498596,-9.737452,0.3,0.3,Zhang2021
3,9.49789,-6.664093,0.3,0.3,Zhang2021
3,10.0,-7.72973,0.3,0.3,Zhang2021
3,10.50211,-9.227799,0.3,0.3,Zhang2021
4,9.50211,-7.07337,0.3,0.3,Zhang2021
4,10.0,-8.06435,0.3,0.3,Zhang2021
4,10.50211,-9.410564,0.3,0.3,Zhang2021
4,9.50211,-7.531904,0.3,0.3,Zhang2021
4,10.0,-8.256609,0.3,0.3,Zhang2021
4,10.50211,-9.522878,0.3,0.3,Zhang2021
5,10.49792,-8.604826,0.3,0.3,Zhang2021
