Dataset 0,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,,Dataset 8,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-20.078393881453156,-2.7977528089887644,-22.510516252390058,-6.01123595505618,-22.682600382409177,-5.898876404494382,-23.118546845124282,-7.561797752808989,-22.510516252390058,-7.561797752808989,-22.189292543021033,-7.595505617977528,-21.8565965583174,-5.966292134831461,-21.91395793499044,-6.752808988764045,-21.237093690248564,-6.685393258426966
-19.608030592734224,-2.5617977528089897,-21.764818355640536,-4.426966292134832,-22.177820267686425,-5.224719101123596,-22.60229445506692,-5.752808988764045,-22.005736137667302,-5.067415730337079,-21.68451242829828,-4.52808988764045,-21.351816443594647,-5.146067415730338,-21.110898661567877,-5.382022471910113,-20.239005736137667,-5.292134831460674
-19.10325047801147,-2.3595505617977537,-21.282982791587,-3.4943820224719104,-21.68451242829828,-3.910112359550562,-22.120458891013385,-4.685393258426966,-21.512428298279158,-4.404494382022472,-21.191204588910132,-4.49438202247191,-20.858508604206502,-4.52808988764045,-20.307839388145315,-4.786516853932585,-19.252390057361378,-4.932584269662922
-18.632887189292543,-2.2696629213483153,-20.778202676864247,-3.179775280898877,-21.20267686424474,-3.51685393258427,-21.61567877629063,-4.101123595505618,-21.03059273422562,-3.8426966292134837,-20.709369024856596,-3.7977528089887644,-20.101338432122372,-4.089887640449438,-19.11472275334608,-4.426966292134832,-18.254302103250478,-4.157303370786517
-18.105162523900574,-2.1460674157303377,-20.296367112810707,-2.831460674157304,-20.720841300191204,-3.2022471910112364,-21.110898661567877,-3.617977528089888,-20.51434034416826,-3.5617977528089892,-20.193116634799235,-3.6629213483146073,-19.35564053537285,-3.382022471910113,-17.921606118546848,-3.370786516853933,-17.244741873804973,-3.9550561797752812
-17.61185468451243,-1.9662921348314613,-19.780114722753346,-2.685393258426967,-20.193116634799235,-2.831460674157304,-20.594646271510516,-3.280898876404495,-20.009560229445505,-3.1910112359550564,-19.676864244741875,-3.3258426966292136,-18.59847036328872,-3.123595505617978,,,,
,,-19.275334608030594,-2.4831460674157313,-19.688336520076483,-2.685393258426967,-20.124282982791588,-3.112359550561798,-19.51625239005736,-3.0000000000000004,-19.19502868068834,-3.078651685393259,-17.600382409177822,-2.7303370786516856,,,,
,,-18.793499043977057,-2.370786516853933,-18.690248565965582,-2.438202247191012,-19.608030592734224,-2.8426966292134837,-18.77055449330784,-2.629213483146068,-18.690248565965582,-2.988764044943821,,,,,,
,,-18.265774378585085,-2.235955056179776,-17.933078393881452,-2.02247191011236,-19.091778202676863,-2.7415730337078656,-17.760994263862333,-2.168539325842697,-17.95602294455067,-2.3595505617977537,,,,,,
,,-17.77246653919694,-1.9662921348314613,-16.934990439770555,-1.6179775280898883,-18.36902485659656,-2.393258426966293,-16.774378585086044,-1.9325842696629218,-16.934990439770555,-2.280898876404495,,,,,,
,,-17.244741873804973,-2.0449438202247197,-15.936902485659656,-1.6966292134831467,-17.37093690248566,-2.1460674157303377,,,,,,,,,,
,,,,,,-16.349904397705544,-1.7528089887640457,,,,,,,,,,
