Dataset 0,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,
X,Y,X,Y,X,Y,X,Y,X,Y
-22.69435091657314,-5.168949771689498,-22.604410415673733,-5.031963470319635,-22.515023394779863,-5.3881278538812785,-22.15600961415269,-5.506849315068493,-21.86828200831245,-5.141552511415526
-22.19091985302031,-4.611872146118721,-22.100846106934387,-4.356164383561644,-22.020417262426395,-4.69406392694064,-21.660911499572077,-4.374429223744292,-21.356046512819724,-4.739726027397261
-21.7051694007554,-3.808219178082192,-21.615536388747955,-3.945205479452055,-21.517047696651957,-4.191780821917808,-21.15792117009773,-4.210045662100457,-20.852553951488503,-4.127853881278538
-21.192892906743744,-3.3698630136986307,-21.112279568900572,-3.54337899543379,-21.022667056152596,-3.6986301369863015,-20.64551143089956,-3.6529680365296806,-20.358665293216283,-4.073059360730594
-20.689830829861272,-3.1415525114155254,-20.635958775989216,-3.1415525114155254,-20.519563980751194,-3.4337899543379,-20.160427204567235,-3.442922374429224,-19.86403866160335,-3.360730593607306
-20.204541610934307,-2.748858447488585,-20.123969271610065,-2.9589041095890414,-20.01638915794167,-3.1050228310502286,-19.64829420537183,-3.1324200913242013,-19.34300898380046,-3.1232876712328768
-19.674594755264465,-2.5662100456621006,-19.62105068954384,-2.858447488584475,-19.50432790615439,-2.858447488584475,-19.14529362626775,-2.9589041095890414,-18.615418518006038,-2.840182648401827
-19.180695847362514,-2.5022831050228316,-19.10006201025988,-2.6575342465753424,-18.76784076175248,-2.648401826484019,-18.669106078542914,-2.6757990867579915,-17.60035668711468,-2.4200913242009134
-18.677592771961113,-2.23744292237443,-18.345453520491574,-2.301369863013699,-17.761614111690214,-2.1004566210045668,-17.923271271825307,-2.1369863013698636,,
-18.174643441005692,-2.109589041095891,-17.34846178681795,-1.9817351598173523,-16.75562320311179,-1.7625570776255712,-16.90846568167725,-1.9452054794520552,,
-17.68058053902803,-1.8995433789954341,-16.360274485084226,-1.5068493150684938,,,,,,
-16.943939650180138,-1.5525114155251147,,,,,,,,
