Dataset 0,,Dataset 1,
X,Y,X,Y
-20.73182552504039,0.000006752943055966555,-21.42649026311878,0.000017179995331294963
-20.231017770597738,0.000036882493665609026,-20.923517169614986,0.00009383183950023675
-19.73021001615509,0.00034242243557298387,-20.42091571279917,0.0004144875792022577
-19.22940226171244,0.0006336410689816499,-19.919763639066453,0.000800250227816115
-18.736672051696285,0.001172531243837357,-19.418648729002527,0.0015125979320146743
-18.22778675282714,0.0030469895709035176,,
-17.735056542810984,0.003179099695557445,,
-17.234248788368337,0.0048599963679715535,,
